what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1329436259898
locale,sysinfo,,,"pt_BR",1329436259898
processors,sysinfo,,,"4",1329436259898
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1329436259898
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1329436259898
java.specification.name,sysinfo,,,"Java Platform API Specification",1329436259898
java.specification.vendor,sysinfo,,,"Oracle Corporation",1329436259898
java.specification.version,sysinfo,,,"1.7",1329436259898
java.vendor,sysinfo,,,"Oracle Corporation",1329436259898
java.version,sysinfo,,,"1.7.0_02",1329436259898
java.vm.info,sysinfo,,,"mixed mode, sharing",1329436259898
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329436259898
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329436259898
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1329436259898
java.vm.specification.version,sysinfo,,,"1.7",1329436259898
java.vm.vendor,sysinfo,,,"Oracle Corporation",1329436259898
java.vm.version,sysinfo,,,"22.0-b10",1329436259898
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436269901
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436269956
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436269956
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1329436271448
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329436271448
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1329436272851
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1329436274053
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1329436279786
