what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048004819
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048007485
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048008901
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048013741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048015368
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048031197
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048034062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048043742
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048044922
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048052315
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048053889
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048055973
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048057393
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048069880
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048070996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048079400
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048080708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048082723
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048084260
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1330048085710
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048088673
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048091171
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.RunLast",1330048091247
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1330048095259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1330048128113
